"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/07/25 4:38:46 PM GMT+4","","Contributor","Purplepinkjinjo","Yes","1941","2022-07-25","No","","Single-player","CNT-FAI","","GEA (with or without Vietnam)","1936","Nobody","","","","","Nobody","Did not end","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","Yes, was repelled","Split between starting nations","Peaceful Reunification","Did not end","Did not happen","Bulgaria","The Cairo Pact","","","","No","Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Ma Clique","1940","Left Kuomintang","Quarter 1, 1937",""
"2022/07/25 4:39:00 PM GMT+4","","Contributor","Purplepinkjinjo","Yes","1941","2022-07-25","No","","Single-player","CNT-FAI","1938","Indochina","1938","Nobody","","","","","Nobody","Did not end","No","Mid 1939","Nobody","Nobody","","","","","No","","","","","","Did not join","","Did not join","","No","Yes, was repelled","Split between starting nations","Peaceful Reunification","Did not end","Did not happen","The Pact","Nobody","","","","No","Cyprus;Armenia","Split between starting nations","No","Entente","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","","Did not end","Nanjing Clique","Quarter 3, 1936",""
"2022/07/25 4:39:13 PM GMT+4","","Contributor","Purplepinkjinjo","Yes","1941","2022-07-25","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","Nobody","","","","","Nobody","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","No","Split between starting nations","Argentina","1938","Did not happen","Bulgaria","Nobody","","","","Yes, and the war did not end","Iraq;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Kumul Khanate","1938","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/07/25 4:39:27 PM GMT+4","","Contributor","Purplepinkjinjo","Yes","1941","2022-07-25","No","","Single-player","Kingdom of Spain","1940","Indochina","1938","Nobody","","","","","Nobody","Did not end","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","No","Socialist Republic of Italy","Argentina","1939","Did not happen","Bulgaria","Nobody","Nobody","","","No","Armenia;Cyrenaica","Split between starting nations","No","Moscow Accord","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936",""
"2022/07/25 5:41:57 PM GMT+4","","Dev","The Alpha Dog","Yes","1940","2022-07-25","No","","Single-player","CNT-FAI","1938","Nobody","Did not end","Nobody","","Nobody","","","","Did not end","Yes, sided with USA","","Nobody","Nobody","","","","","No","Did not join","","","","","Did not join","","Did not join","","No","No","Split between starting nations","Argentina","1938","Did not happen","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Donau-Adriabund","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","","Did not happen","No","Nobody","","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936",""
"2022/07/25 5:42:14 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","CNT-FAI","1939","Indochina","1938","PSA","","","PSA","","Nobody","1943","No","Early 1940","Reichspakt","Reichspakt","","1942","","1942","No","1940","","","","","Did not join","","","","Yes, successfully","Yes, was repelled","Italian Republic/Federation","Chile","1939","Did not happen","Bulgaria","Nobody","The Ottoman Empire","","","Yes, and OTT won the war","Iraq;Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","No","","1939","1941","1944","1941","Did not happen","1938","Did not happen","1943","Started by Japan","Nobody","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Nobody","Did not end","Left Kuomintang","Quarter 1, 1937",""
"2022/07/25 5:42:29 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-25","No","","Single-player","Kingdom of Spain","1938","Indochina","1942","PSA","","","PSA","","Nobody","1942","Yes, sided with PSA","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","Did not happen","The Pact","The Ottoman Empire","","","","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","Before 1938","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 2, 1936",""
"2022/07/25 5:42:43 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1936","CSA","","CSA","","","","1941","No","Mid 1940","Nobody","Nobody","","","1941","","No","1940","","","","","1940","","1940","No","No","Yes, successfully","Italian Republic/Federation","Chile","1938","Did not happen","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Hejaz;Assyria;Cyprus;Armenia;Cyrenaica","Dominion of India","No","Reichspakt","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1940","Anqing Clique","Quarter 4, 1936",""
"2022/07/25 5:42:58 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","Kingdom of Spain","1940","Indochina","1937","Nobody","","","","Nobody","Nobody","Did not end","No","Early 1940","Reichspakt","Reichspakt","","1944","","","No","1940","","","","","Did not join","","Did not join","","Yes, successfully","Yes, was repelled","Split between starting nations","Chile","1938","Did not happen","The Pact","The Cairo Pact","","","","No","Iraq;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","Belgrade Pact","1939","1942","Did not happen","1940","Did not happen","Before 1938","Did not happen","1944","Started by Transamur","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1941","Nanjing Clique","Quarter 4, 1936",""
"2022/07/25 5:43:13 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-25","No","","Single-player","Carlists","1938","GEA (with or without Vietnam)","1937","Nobody","","","","","Nobody","Did not end","No","Mid 1940","Reichspakt","Reichspakt","","1942","Second Peace with Honour","","No","1940","","","","","1941","","","","Yes, successfully","No","Two Sicilies","Chile","1938","Brazil","Bulgaria","Nobody","The Ottoman Empire","","","No","Armenia","Split between starting nations","Yes","Moscow Accord","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Japan","Nobody","","Kumul Khanate","","Mongolia and Tibet","1940","Nanjing Clique","Quarter 4, 1936",""
"2022/07/25 5:43:27 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","Carlists","1939","Indochina","1937","CSA","","CSA","","","","1943","Yes, declared war on CSA","Early 1940","Reichspakt","Reichspakt","","1942","1942","","No","1940","","","","","Did not join","","","","Yes, successfully","Yes, successfully","Two Sicilies","Chile","1939","Did not happen","Bulgaria","Nobody","","","","Yes, and the war did not end","Iraq;Hejaz;Kurdistan;Assyria;Cyprus;Armenia","Split between starting nations","No","Third Internationale","Did not happen","Did not happen","Did not happen","1940","1940","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Nobody","Did not end","Anqing Clique","Quarter 4, 1936",""
"2022/07/25 5:43:42 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","Nobody","","","","Nobody","Nobody","Did not end","No","Late 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","Yes, was repelled","No","Split between starting nations","Chile","1937","Did not happen","The Pact","The Cairo Pact","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1941","Did not happen","","Did not happen","Did not happen","Before 1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/07/25 5:43:56 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","TEX","","","","","TEX","1943","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","Yes, was repelled","Socialist Republic of Italy","Chile","","Brazil","Bulgaria","Nobody","The Ottoman Empire","","","No","Armenia;Cyrenaica","Split between starting nations","Yes","Moscow Accord","1938","","Did not happen","Did not happen","1941","1943","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1942","Nanjing Clique","Quarter 4, 1936",""
"2022/07/25 5:44:11 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1937","USA","","USA","","","","1938","Yes, sided with USA","Early 1940","Reichspakt","Reichspakt","","1944","","","No","1940","","","","","1941","","1941","No","Yes, successfully","Yes, was repelled","Socialist Republic of Italy","Argentina","1939","Did not happen","The Pact","Nobody","","","","Yes, and the war did not end","Kurdistan;Assyria;Cyprus;Armenia","Bharatiya Commune","No","Entente","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/07/25 5:44:26 PM GMT+4","","Dev","The Alpha Dog","Yes","1945","2022-07-25","No","","Single-player","CNT-FAI","1938","Indochina","1938","NEE","","","","NEE","Nobody","1942","Yes, sided with PSA","Early 1940","Internationale","","1942","","","","No","1941","","","1943","Internationale (not France)","1940","1942","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","Nobody","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1940","Anqing Clique","Quarter 4, 1936",""
"2022/07/25 5:44:41 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","NEE","","","","","NEE","1940","Yes, sided with PSA","Early 1940","Reichspakt","Russia","1941","1941","","","No","1940","","","","","Did not join","","","","Yes, successfully","Yes, was repelled","Italian Republic/Federation","Chile","1938","Did not happen","Nobody","Nobody","","The Cairo Pact","","Yes, but OTT still lost the war","Kurdistan;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Belgrade Pact","1939","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Russia","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1938","Shandong Clique","Quarter 4, 1936",""
"2022/07/25 5:45:30 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-25","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1936","PSA","","","","","PSA","1942","No","Early 1939","Reichspakt","Reichspakt","","1941","1941","1942","No","1940","","","","","Did not join","","","","No","Yes, successfully","Italian Republic/Federation","Argentina","1938","Did not happen","Bulgaria","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","No","Entente","Before 1938","1941","1943","Did not happen","1942","1939","Did not happen","1943","Started by Japan","Zhili Qing","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Nobody","Did not end","Shandong Clique","Quarter 1, 1937",""
