"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/08/08 2:42:53 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","CNT-FAI","1939","Indochina","1938","CSA","","","CSA","","","1941","Yes, sided with USA","Early 1939","Nobody","Nobody","","","","","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, was repelled","Split between starting nations","Chile","1938","Did not happen","The Pact","1937","The Cairo Pact","","","","1939","Yes, but OTT still lost the war","Hejaz;Kurdistan;Cyprus;Armenia","Princely Federation/Hyderabad","No","Belgrade Pact","1938","1941","Did not happen","Did not happen","Did not happen","1940","1943","Did not happen","Started by Transamur","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937",""
"2022/08/08 2:43:07 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","CSA","","","CSA","","","1939","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","","","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1939","Did not happen","Bulgaria","1938","The Ottoman Empire","","","","1940","No","Kurdistan;Cyprus;Armenia","Princely Federation/Hyderabad","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","","1943","Nanjing Clique","Quarter 1, 1937",""
"2022/08/08 2:43:22 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1937","CSA","","","","","CSA","1942","No","Late 1940","Nobody","Nobody","","","","","No","1940","","","1942","Commune of France","1942","","","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","","Bulgaria","1937","The Ottoman Empire","","","","1939","Yes, and OTT won the war","Iraq;Kurdistan;Cyprus;Armenia","Bharatiya Commune","Yes","Belgrade Pact","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Russia","Nobody","","Nobody","Did not end","Mongolia and Tibet","1941","Left Kuomintang","Quarter 4, 1936",""
"2022/08/08 2:43:37 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","Kingdom of Spain","1940","Indochina","1938","CSA","","","CSA","","","1941","No","Early 1940","Internationale","Russia","1941","","","","No","1940","","","","","1940","1941","1940","Yes, during or after WK2","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","","Nobody","The Ottoman Empire","","","1941","No","Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","1939","1941","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/08/08 2:43:52 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","CNT-FAI","1939","Nobody","Did not end","USA","","","USA","","","1941","Yes, sided with USA","Early 1939","Reichspakt","Nobody","","1943","","","No","1940","","","","","1939","","1940","No","Yes, successfully","No","Italian Republic/Federation","Chile","1938","Brazil","The Pact","1937","The Ottoman Empire","","","","1943","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","1938","1944","Did not happen","Did not happen","Did not happen","Before 1938","1942","Did not happen","No","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Anqing Clique","Quarter 1, 1937",""
"2022/08/08 2:44:07 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1938","","","","USA","","","1940","Yes, sided with USA","Early 1939","Internationale","Russia","1940","","","","No","1941","","","","","1939","1940","1940","Yes, during or after WK2","No","No","Socialist Republic of Italy","Argentina","1939","Did not happen","The Pact","1939","The Cairo Pact","","","","1940","No","Kurdistan;Armenia","Princely Federation/Hyderabad","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1940","Left Kuomintang","Quarter 1, 1937",""
"2022/08/08 2:44:21 AM GMT+4","","Dev","The Alpha Dog","Yes","1945","2022-08-07","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1939","PSA","","","","","PSA","1943","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1942","","1942","No","No","No","Split between starting nations","Chile","1938","Did not happen","The Pact","1937","Nobody","","","","Did not end","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Belgrade Pact","1939","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Started by Transamur","Nobody","Conquered only the coastal states","Republic of East Turkestan","1941","Mongolia and Tibet","1939","Left Kuomintang","Quarter 4, 1936",""
"2022/08/08 2:44:35 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1936","NEE","","","","NEE","","1940","Yes, sided with USA","Early 1940","Nobody","Nobody","","","1941","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","ANI Italy","Chile","1938","Did not happen","Bulgaria","1938","The Cairo Pact","","","","1941","No","Assyria;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","","1939","1941","Did not happen","1942","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Left Kuomintang","Quarter 4, 1936",""
"2022/08/08 2:44:51 AM GMT+4","","Dev","The Alpha Dog","Yes","1945","2022-08-07","No","","Single-player","Carlists","1940","GEA (with or without Vietnam)","1937","CSA","","","","","CSA","1943","No","Mid 1940","Reichspakt","Reichspakt","","1943","","","Yes, during or after WK2","1940","1944","CSA","","","1940","","1942","No","No","No","Italian Republic/Federation","Chile","1938","Did not happen","The Pact","1942","The Cairo Pact","","","","1939","Yes, but OTT still lost the war","Hejaz;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Nobody","","Nanjing Clique","Quarter 4, 1936",""
"2022/08/08 2:45:05 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1937","TEX","","","TEX","","","1942","Yes, declared war on CSA","Early 1940","Reichspakt","Reichspakt","","1943","","","No","1940","","","","","1940","","","","Yes, successfully","Yes, was repelled","Italian Republic/Federation","Argentina","1939","Did not happen","Bulgaria","1938","The Ottoman Empire","","","","1940","No","Iraq;Cyprus;Armenia","Dominion of India","No","Belgrade Pact","1940","","Did not happen","1942","1943","1940","Did not happen","Did not happen","Started by Transamur","","","Nobody","Did not end","Ma Clique","1941","Left Kuomintang","Quarter 1, 1937",""
"2022/08/08 2:45:21 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","","","","CSA","","","1941","Yes, sided with PSA","Early 1940","Internationale","Russia","1941","","","","Yes, during or after WK2","1940","1942","CSA","1943","Commune of France","1940","1942","1940","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","Brazil","The Pact","","The Ottoman Empire","","","","1943","Yes, and OTT won the war","Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","Third Internationale","1939","1941","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","No","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Republic of East Turkestan","1939","Mongolia and Tibet","1942","Left Kuomintang","Quarter 4, 1936",""
"2022/08/08 2:45:36 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","USA","","","","","USA","1939","Yes, sided with USA","Early 1940","Reichspakt","Reichspakt","","1943","Second Peace with Honour","","No","1940","","","","","1940","","1940","No","Yes, successfully","No","Two Sicilies","Argentina","1939","Did not happen","The Pact","1937","Nobody","The Ottoman Empire","","","1940","No","Kurdistan;Armenia;Cyrenaica","Dominion of India","No","Reichspakt","1938","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","Started by Japan","","","Nobody","Did not end","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936",""
"2022/08/08 2:45:51 AM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-08-07","No","","Single-player","CNT-FAI","1938","Indochina","1938","PSA","","","PSA","","","1942","No","Early 1940","Nobody","Nobody","","","1943","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","1938","The Ottoman Empire","","","","1940","Yes, and OTT won the war","Iraq;Kurdistan;Armenia;Tripolitania","Bharatiya Commune","Yes","","1939","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1940","Shandong Clique","Quarter 1, 1937",""
"2022/08/08 12:01:46 PM GMT+4","","Dev","Pelmen","Yes","1943","2022-08-08","No","","Single-player","CNT-FAI","1938","Indochina","1938","CSA","","","CSA","","","1941","No","Early 1940","Nobody","Nobody","","","","","Yes, during or after WK2","1940","1942","CSA","","","1940","","","","No","No","Split between starting nations","Chile","1938","Did not happen","Bulgaria","1937","Nobody","The Ottoman Empire","","","1940","No","Iraq;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1939","Did not happen","Did not happen","1938","Did not happen","Did not happen","1942","Did not happen","No","Fengtian alone","","Republic of East Turkestan","1939","Mongolia and Tibet","1940","Left Kuomintang","Quarter 1, 1937",""
"2022/08/08 12:02:04 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","CNT-FAI","1937","Indochina","1940","NEE","","","","NEE","","1939","Yes, sided with PSA","Late 1940","Internationale","Russia","1942","","","","No","Did not join","","","1943","Internationale (not France)","1940","1942","1940","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Chile","1937","Did not happen","The Pact","1937","The Cairo Pact","","","","1940","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Third Internationale","1938","1942","Did not happen","Did not happen","1943","1940","Did not happen","1944","Started by Russia","Nobody","Conquered only the coastal states","Nobody","Did not end","Ma Clique","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/08/08 12:02:20 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","Carlists","1941","GEA (with or without Vietnam)","1937","USA","USA","","","","","1938","No","Mid 1940","Reichspakt","Reichspakt","","1943","1943","","No","1941","","","","","1940","","1940","No","No","Yes, successfully","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","1937","Nobody","","","","Did not end","Yes, and the war did not end","Iraq;Kurdistan;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Third Internationale","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1944","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1940","Nanjing Clique","Quarter 1, 1937",""
"2022/08/08 12:02:36 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","CNT-FAI","1938","Indochina","1938","CSA","","","","","CSA","1940","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","","","Yes, during or after WK2","1940","1940","CSA","","","1941","","","","No","No","Socialist Republic of Italy","Chile","1937","Did not happen","Bulgaria","1939","The Ottoman Empire","","","","1944","No","Hejaz;Assyria;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Nobody","Did not end","Left Kuomintang","Quarter 1, 1937",""
"2022/08/08 12:02:53 PM GMT+4","","Dev","Pelmen","Yes","1945","2022-08-08","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1936","PSA","","","","","PSA","1941","No","Mid 1940","Internationale","Russia","1942","","","","No","1940","","","","","1940","1943","1940","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","Did not happen","The Pact","1937","Nobody","The Cairo Pact","","","1944","Yes, but OTT still lost the war","Iraq;Kurdistan;Armenia;Cyrenaica","Dominion of India","Yes","Moscow Accord","1941","1944","Did not happen","1941","1941","Did not happen","Did not happen","1944","Started by Russia","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Left Kuomintang","Quarter 4, 1936",""
"2022/08/08 12:03:09 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","Nobody","Did not end","GEA (with or without Vietnam)","1942","USA","USA","","","","","1939","No","Mid 1940","Reichspakt","Reichspakt","","1941","","","No","1940","","","","","1940","","","","Yes, successfully","Yes, was repelled","Italian Republic/Federation","Argentina","1940","Did not happen","Bulgaria","1938","The Ottoman Empire","","","","1939","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Moscow Accord","1939","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1941","Started by Japan","Nobody","Could not push into China","Nobody","Did not end","Ma Clique","1940","Nanjing Clique","Quarter 3, 1936",""
"2022/08/08 12:03:25 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","CNT-FAI","1937","Indochina","1938","PSA","","","PSA","","","1940","Yes, sided with PSA","Early 1940","Internationale","Russia","1941","","","","No","1940","","","","","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1939","Did not happen","The Pact","1938","Nobody","Nobody","","","Did not end","No","Iraq;Armenia","Split between starting nations","No","Moscow Accord","1939","1940","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","No","Nobody","Conquered all of China","Republic of East Turkestan","1938","Nobody","Did not end","","Quarter 1, 1937",""
"2022/08/08 12:03:41 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1938","USA","","","","","USA","1941","No","Early 1940","Internationale","Russia","1943","","","","No","Did not join","","","1940","Internationale (not France)","1940","1943","","","No","Yes, was repelled","Socialist Republic of Italy","Chile","1939","Did not happen","Bulgaria","1938","Nobody","The Ottoman Empire","","","1942","No","Kurdistan;Armenia","Bharatiya Commune","Yes","Reichspakt","Did not happen","Did not happen","Did not happen","1939","1942","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1940","Left Kuomintang","Quarter 4, 1936",""
"2022/08/08 12:03:57 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1937","USA","USA","","","","","1938","No","Early 1940","Nobody","Nobody","","","1942","","No","1941","","","","","1940","","1941","No","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Chile","1938","Argentina","The Pact","1937","Nobody","","","","Did not end","Yes, and the war did not end","Iraq;Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Moscow Accord","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1941","Nanjing Clique","Quarter 4, 1936",""
"2022/08/08 12:04:13 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1938","PSA","","","","","PSA","1939","Yes, declared war on CSA","Late 1940","Nobody","Nobody","","","","","No","1940","","","","","Did not join","","Did not join","","Yes, was repelled","No","Split between starting nations","Chile","1938","Did not happen","The Pact","1938","The Ottoman Empire","","","","1939","Yes, and OTT won the war","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Belgrade Pact","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/08/08 12:04:29 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1937","NEE","","","","NEE","","1939","Yes, sided with PSA","Late 1940","Internationale","Russia","1942","","","","No","1940","","","1943","Commune of France","1940","1943","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","Did not happen","The Pact","1937","The Ottoman Empire","","","","1942","Yes, and OTT won the war","Hejaz;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1940","1941","Did not happen","1939","Did not happen","1940","Did not happen","1943","Started by Russia","Nobody","Could not push into China","Nobody","Did not end","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/08/08 12:04:46 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","CNT-FAI","1937","Indochina","1938","USA","USA","","","","","1938","No","Early 1940","Internationale","Russia","1941","","","","No","1940","","","1943","Internationale (not France)","1940","1941","","","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938","Argentina","Bulgaria","1938","The Cairo Pact","","","","1940","Yes, but OTT still lost the war","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1940","1942","1943","1940","1944","1944","Did not happen","1943","Started by Russia","Zhili Qing","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1938","Ma Clique","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/08/08 12:05:02 PM GMT+4","","Dev","Pelmen","Yes","1943","2022-08-08","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1938","USA","","","","","USA","1941","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","1943","","No","1940","","","","","1942","","1942","No","No","Yes, successfully","Split between starting nations","Chile","1939","Did not happen","The Pact","1937","Nobody","","","","Did not end","No","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Reichspakt","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937",""
"2022/08/08 12:05:18 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1936","PSA","","","","PSA","","1940","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","Yes, was repelled","No","Split between starting nations","Chile","1937","Did not happen","The Pact","1939","The Cairo Pact","","","","1942","Yes, but OTT still lost the war","Iraq;Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1939","Did not happen","Did not happen","Did not happen","1943","1942","1943","Did not happen","No","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1939","Left Kuomintang","Quarter 1, 1937",""
"2022/08/08 12:05:34 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","Kingdom of Spain","1940","GEA (with or without Vietnam)","1937","USA","USA","","","","","1939","No","Early 1940","Reichspakt","Reichspakt","","1943","1941","","No","1940","","","","","1940","","","","Yes, successfully","Yes, successfully","Italian Republic/Federation","Chile","1937","Brazil","Bulgaria","1938","The Cairo Pact","","","","1939","Yes, but OTT still lost the war","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1938","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1940","Nanjing Clique","",""
"2022/08/08 12:05:49 PM GMT+4","","Dev","Pelmen","Yes","1945","2022-08-08","No","","Single-player","Kingdom of Spain","1938","Nobody","Did not end","USA","","","","","USA","1942","Yes, sided with PSA","Mid 1940","Nobody","Nobody","","","1943","","No","Did not join","","","","","1943","","","","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Chile","1938","Brazil","Bulgaria","1938","The Ottoman Empire","","","","1943","No","Kurdistan;Assyria;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1937","Anqing Clique","Quarter 1, 1937",""
"2022/08/08 12:06:05 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1937","NEE","","","","NEE","","1939","Yes, sided with PSA","Early 1939","Nobody","Nobody","","","1943","","No","Did not join","","","","","1941","","1941","No","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1937","Did not happen","The Pact","1937","Nobody","","","","Did not end","No","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Belgrade Pact","1938","Did not happen","Did not happen","1942","Did not happen","1943","1941","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Ma Clique","1938","Anqing Clique","Quarter 4, 1936",""
"2022/08/08 12:06:21 PM GMT+4","","Dev","Pelmen","Yes","1944","2022-08-08","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1937","USA","USA","","","","","1938","No","Mid 1940","Nobody","Nobody","","","1943","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1938","Did not happen","Bulgaria","1938","The Cairo Pact","","","","1939","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","1940","1941","Did not happen","Did not happen","1942","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","Quarter 3, 1936",""
"2022/08/09 11:09:59 PM GMT+4","","Dev","The Alpha Dog","Yes","1942","2022-08-09","No","","Single-player","Kingdom of Spain","1940","Nobody","Did not end","TEX","","","","TEX","","1941","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","1941","","No","1940","","","","","1941","","","","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","","Nobody","","","","Did not end","No","Assyria;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","","1939","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936",""
"2022/08/09 11:10:16 PM GMT+4","","Dev","The Alpha Dog","Yes","1945","2022-08-09","No","","Single-player","Nobody","Did not end","Indochina","1938","Nobody","","","","Nobody","","Did not end","Yes, sided with PSA","Early 1939","Internationale","Russia","1941","","","","No","1940","","","1943","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","Did not happen","The Pact","1938","Nobody","","The Cairo Pact","","1942","Yes, but OTT still lost the war","Kurdistan;Armenia;Tripolitania;Cyrenaica","Puppeted by a foreign power","No","Moscow Accord","1939","1944","Did not happen","1941","Did not happen","Did not happen","Did not happen","1944","No","Nobody","Could not push into China","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Shandong Clique","Quarter 1, 1937",""
"2022/08/09 11:10:32 PM GMT+4","","Dev","The Alpha Dog","Yes","1946","2022-08-09","No","","Single-player","Nobody","Did not end","GEA (with or without Vietnam)","1938","USA","USA","","","","","1938","No","Early 1940","Internationale","Russia","1943","","","","No","1940","","","","","1940","1943","","","No","No","Socialist Republic of Italy","Chile","1939","Did not happen","Bulgaria","1939","The Ottoman Empire","","","","After 1945","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Third Internationale","1939","Did not happen","Did not happen","1944","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Nobody","Did not end","Left Kuomintang","Quarter 1, 1937",""
